stage,param,value,L_unified,L_memoryTH
A,MEMORY_ACTIVE_RETRIEVAL_TH,0.03,822.447692116167,260.6735442632026
A,MEMORY_ACTIVE_RETRIEVAL_TH,0.04,806.0846481310623,269.2317449661741
A,MEMORY_ACTIVE_RETRIEVAL_TH,0.05,654.856365545671,71.5183868591405
A,MEMORY_ACTIVE_RETRIEVAL_TH,0.06,23.509608431753154,31.81159611032357
A,MEMORY_ACTIVE_RETRIEVAL_TH,0.07,23.509608431753154,31.81159611032357
A,MEMORY_ACTIVE_RETRIEVAL_TH,0.08,23.509608431753154,31.81159611032357
B0,(incumbent),,23.509608431753154,31.81159611032357
B-R1,MEMORY_ACTIVE_ABSENT_STEPS_TH,7,42.80350382626052,89.89803447985919
B-R1,MEMORY_ACTIVE_ABSENT_STEPS_TH,9,23.735255405466084,47.10216835891758
B-R1,MEMORY_ACTIVE_ABSENT_STEPS_TH,14,10.155350035697285,24.239689258412
B-R1,MEMORY_ACTIVE_ABSENT_STEPS_TH,18,9.473923743124933,20.806409671715063
B-R1,PROBE_RELIEF_RATIO,0.2,15.85963779056503,44.31704785566764
B-R1,PROBE_RELIEF_RATIO,0.3,15.85963779056503,44.31704785566764
B-R1,PROBE_RELIEF_RATIO,0.5,6.286529420223656,14.897011138253196
B-R1,PROBE_RELIEF_RATIO,0.6,6.286529420223656,14.897011138253196
B-R1,LANDMARK_DECAY_RATE,0.66,7.949754079845258,18.47336809852836
B-R1,LANDMARK_DECAY_RATE,0.74,6.382756131869685,15.363247324956951
B-R1,LANDMARK_DECAY_RATE,0.9,6.935570443274066,13.667134114624487
B-R1,LANDMARK_DECAY_RATE,0.96,6.470524636780102,15.661720596613966
B-R1,VEHICLE_APPROACH_SALIENCE_GATE_SIDEWALK,0.28,6.202708880773484,14.897011138253196
B-R1,VEHICLE_APPROACH_SALIENCE_GATE_SIDEWALK,0.34,6.202708880773484,14.897011138253196
B-R1,VEHICLE_APPROACH_SALIENCE_GATE_SIDEWALK,0.48,6.382612254500497,14.897011138253196
B-R1,VEHICLE_APPROACH_SALIENCE_GATE_SIDEWALK,0.56,6.265062427500272,14.257436346666644
B-R1,LOOMING_BOOST_PEAK,0.21,6.31181858832323,14.787259438778143
B-R1,LOOMING_BOOST_PEAK,0.28,6.1699525519698435,14.787259438778143
B-R1,LOOMING_BOOST_PEAK,0.42,6.202708880773484,14.897011138253196
B-R1,LOOMING_BOOST_PEAK,0.49,6.171398750088563,14.792104997090203
B-R1,LOOMING_BOOST_DECAY,0.72,6.1699525519698435,14.787259438778143
B-R1,LOOMING_BOOST_DECAY,0.78,6.202708880773484,14.897011138253196
B-R1,LOOMING_BOOST_DECAY,0.84,6.171398750088563,14.792104997090203
B-R1,LOOMING_BOOST_DECAY,0.9,5.937040404044381,14.417026274231786
B-R1,LOOMING_BOOST_DECAY,0.96,6.906670794369056,14.51610143750491
B-R2,MEMORY_ACTIVE_ABSENT_STEPS_TH,16,8.041581998094324,18.213369629154567
B-R2,PROBE_RELIEF_RATIO,0.45,6.11386705600711,15.166918039342221
B-R2,PROBE_RELIEF_RATIO,0.55,5.937040404044381,14.417026274231786
B-R2,LANDMARK_DECAY_RATE,0.78,7.784202398980751,15.142219142679016
B-R2,LANDMARK_DECAY_RATE,0.86,7.340218932249584,15.405573035654465
B-R2,VEHICLE_APPROACH_SALIENCE_GATE_SIDEWALK,0.31,5.937040404044381,14.417026274231786
B-R2,LOOMING_BOOST_PEAK,0.315,5.937040404044381,14.417026274231786
B-R2,LOOMING_BOOST_PEAK,0.385,5.937040404044381,14.417026274231786
B-R2,LOOMING_BOOST_DECAY,0.87,6.202708880773484,14.897011138253196
B-R2,LOOMING_BOOST_DECAY,0.93,6.91922342904737,14.550504118973835
