stage,param,value,L_unified,L_memoryTH
A,MEMORY_ACTIVE_RETRIEVAL_TH,0.03,1259.0036944814453,260.6735442632026
A,MEMORY_ACTIVE_RETRIEVAL_TH,0.04,1227.5579585741432,269.2317449661741
A,MEMORY_ACTIVE_RETRIEVAL_TH,0.05,1071.5722654204335,71.5183868591405
A,MEMORY_ACTIVE_RETRIEVAL_TH,0.06,22.692925869843553,31.81159611032357
A,MEMORY_ACTIVE_RETRIEVAL_TH,0.07,22.692925869843553,31.81159611032357
A,MEMORY_ACTIVE_RETRIEVAL_TH,0.08,22.692925869843553,31.81159611032357
B0,(incumbent),,22.692925869843553,31.81159611032357
B-R1,MEMORY_ACTIVE_ABSENT_STEPS_TH,7,31.270157843609134,89.89803447985919
B-R1,MEMORY_ACTIVE_ABSENT_STEPS_TH,9,16.943033422679413,47.10216835891758
B-R1,MEMORY_ACTIVE_ABSENT_STEPS_TH,14,4.079910776376874,24.239689258412
B-R1,MEMORY_ACTIVE_ABSENT_STEPS_TH,18,4.094872975863089,20.806409671715063
B-R1,PROBE_RELIEF_RATIO,0.2,3.818760197003308,88.79254088078945
B-R1,PROBE_RELIEF_RATIO,0.3,3.818760197003308,88.79254088078945
B-R1,PROBE_RELIEF_RATIO,0.5,4.094708158284152,19.864765200574777
B-R1,PROBE_RELIEF_RATIO,0.6,4.094708158284152,19.864765200574777
B-R1,SEEV_SAFETY_UNIT,0.56,3.818760197003308,88.79254088078945
B-R1,SEEV_SAFETY_UNIT,0.63,3.818760197003308,88.79254088078945
B-R1,SEEV_SAFETY_UNIT,0.77,3.818760197003308,88.79254088078945
B-R1,SEEV_SAFETY_UNIT,0.84,3.818760197003308,88.79254088078945
B-R1,LANDMARK_DECAY_RATE,0.66,7.843060956383291,72.34114541748934
B-R1,LANDMARK_DECAY_RATE,0.74,6.876952869256306,82.22396058096055
B-R1,LANDMARK_DECAY_RATE,0.9,4.542675003429049,81.40284970495871
B-R1,LANDMARK_DECAY_RATE,0.96,8.246737638200399,80.53834079802373
B-R1,LOOMING_BOOST_DECAY,0.72,3.8187601970033103,88.79254088078945
B-R1,LOOMING_BOOST_DECAY,0.78,3.818760197003308,88.79254088078945
B-R1,LOOMING_BOOST_DECAY,0.84,3.818760197003308,88.79254088078945
B-R1,LOOMING_BOOST_DECAY,0.9,4.679726112851183,86.76883085251622
B-R1,LOOMING_BOOST_DECAY,0.96,4.679726112851187,86.76883085251622
B-R1,LOOMING_BOOST_PEAK,0.21,3.743862057924144,88.79254088078945
B-R1,LOOMING_BOOST_PEAK,0.28,3.858332202427266,88.79254088078945
B-R1,LOOMING_BOOST_PEAK,0.42,3.7402381952486063,88.79254088078945
B-R1,LOOMING_BOOST_PEAK,0.49,3.7402381952486063,88.79254088078945
B-R2,MEMORY_ACTIVE_ABSENT_STEPS_TH,12,8.63399050453457,97.27834451502245
B-R2,MEMORY_ACTIVE_ABSENT_STEPS_TH,16,7.329876462109846,71.54467732391348
B-R2,PROBE_RELIEF_RATIO,0.25,3.7402381952486063,88.79254088078945
B-R2,SEEV_SAFETY_UNIT,0.665,3.7402381952486063,88.79254088078945
B-R2,SEEV_SAFETY_UNIT,0.735,3.7402381952486063,88.79254088078945
B-R2,LANDMARK_DECAY_RATE,0.78,6.901350481571012,82.22396058096055
B-R2,LANDMARK_DECAY_RATE,0.86,8.27287297075579,96.98573530305325
B-R2,LOOMING_BOOST_DECAY,0.79,3.7402381952486063,88.79254088078945
B-R2,LOOMING_BOOST_DECAY,0.82,3.7402381952486063,88.79254088078945
B-R2,LOOMING_BOOST_PEAK,0.385,3.7402381952486063,88.79254088078945
B-R2,LOOMING_BOOST_PEAK,0.455,3.7402381952486063,88.79254088078945
