metric,metric_en,metric_cn,col_sum(全参数),weight_normalized
risk_mean,Risk,风险信号均值,0.1501,0.0098
risk_relief,Risk relief,地标触发后风险缓释量,1.5210,0.0992
probe_rate,Probe rate,停探测频率(/100步),0.8366,0.0546
response_prob,Response prob,车辆逼近反应概率,2.1726,0.1417
response_delay_s,Response delay,车辆逼近反应延迟(s),5.9514,0.3881
post_trigger_probe,Post-trigger probe,地标触发后停探测率,1.6327,0.1065
workload,Workload,认知负荷均值,0.1486,0.0097
episode_length,Episode length,参照丢失片段步长,0.1282,0.0084
retrieval_rate,Retrieval rate,无参照记忆检索率(/100步),0.8707,0.0568
probe_time_share,Time share (probing),停探测时间占比,1.0705,0.0698
veh_time_share,Time share (vehicle),车辆逼近时长占比,0.8512,0.0555
