scenario,metric,metric_cn,"col_sum(Σj S[j,k])",weight_w_k
车辆逼近,veh_share,车辆-时长占比,1.5157,0.0254
车辆逼近,veh_stop_rate,车辆-停探测率,5.3926,0.0903
车辆逼近,veh_reaction_prob,车辆-反应概率,6.2724,0.1050
车辆逼近,veh_reaction_delay_s,车辆-反应延迟,7.4108,0.1241
地标触发,lm_share,地标-时长占比,0.7673,0.0128
地标触发,lm_stop_rate,地标-停探测率,9.2298,0.1545
地标触发,lm_stop_after_rate,地标-触发后停探测率,9.2298,0.1545
触觉引导,tac_share,触觉-时长占比,0.3961,0.0066
触觉引导,tac_stop_rate,触觉-停探测率,6.0900,0.1020
无参照,noref_share,无参照-时长占比,0.5304,0.0089
无参照,noref_stop_rate,无参照-停探测率,4.3483,0.0728
无参照,noref_ep_len,无参照-片段步长,0.5743,0.0096
无参照,noref_retrieval_per100,无参照-记忆检索率,7.9717,0.1335
