label,seed,stop_probe_per_100steps,veh_reaction_prob,veh_reaction_delay_s,iw_mean,iw_p95,iw_high_ratio,crossing_wait_s,ref_loss_episodes_per_100steps,deprivation_mean,obstacle_hits_per_100steps,total_sim_time_s,total_steps,diag_value_mean,diag_net_priority_mean,diag_gate_rate,diag_risk_mean,reached_goal,n_veh_onsets,wall_s
baseline,20260705,7.5012,0.2667,0.0949,3.1911,10.6059,0.1580,192.5268,4.2209,0.2840,0.2171,3431.9627,4146.0000,0.336859,0.061299,0.002894,0.107970,True,15,3060.6
baseline,20260706,8.8305,0.2857,0.5250,3.1852,10.3291,0.1534,197.0496,4.0956,0.2765,0.0947,3469.4627,4224.0000,0.337592,0.062246,0.002131,0.105396,True,7,3062.4
baseline,20260707,8.9877,0.2308,0.0633,3.2454,10.6059,0.1633,234.4224,4.0074,0.2897,0.1390,3515.1127,4317.0000,0.334089,0.060052,0.001621,0.109770,True,13,3063.3
baseline,20260708,8.1469,0.2727,0.0000,3.1699,10.6059,0.1559,219.8950,4.0499,0.2782,0.2355,3476.6127,4247.0000,0.339781,0.062692,0.001648,0.105905,True,11,3062.4
baseline,20260709,9.1456,0.5000,0.3061,3.0577,10.3292,0.1415,162.0638,4.0915,0.2610,0.1685,3429.2627,4155.0000,0.343128,0.062950,0.000722,0.098701,True,10,3060.3
SEEV_VALUE_SAFETY_WEIGHT|up,20260705,7.5012,0.2667,0.0949,3.1911,10.6059,0.1580,192.5268,4.2209,0.2840,0.2171,3431.9627,4146.0000,0.346618,0.063591,0.003377,0.107970,True,15,3064.4
SEEV_VALUE_SAFETY_WEIGHT|up,20260706,8.8305,0.2857,0.5250,3.1852,10.3291,0.1534,197.0496,4.0956,0.2765,0.0947,3469.4627,4224.0000,0.347162,0.064440,0.002841,0.105396,True,7,3062.5
SEEV_VALUE_SAFETY_WEIGHT|up,20260707,8.9877,0.2308,0.0633,3.2454,10.6059,0.1633,234.4224,4.0074,0.2897,0.1390,3515.1127,4317.0000,0.344227,0.062376,0.002780,0.109770,True,13,3065.0
SEEV_VALUE_SAFETY_WEIGHT|up,20260708,8.1469,0.2727,0.0000,3.1699,10.6059,0.1559,219.8950,4.0499,0.2782,0.2355,3476.6127,4247.0000,0.349941,0.065028,0.001884,0.105905,True,11,3061.2
SEEV_VALUE_SAFETY_WEIGHT|up,20260709,9.1456,0.5000,0.3061,3.0577,10.3292,0.1415,162.0638,4.0915,0.2610,0.1685,3429.2627,4155.0000,0.352907,0.065208,0.001925,0.098701,True,10,3060.4
SEEV_VALUE_SAFETY_WEIGHT|down,20260705,7.5012,0.2667,0.0949,3.1911,10.6059,0.1580,192.5268,4.2209,0.2840,0.2171,3431.9627,4146.0000,0.327100,0.059008,0.001930,0.107970,True,15,168.1
SEEV_VALUE_SAFETY_WEIGHT|down,20260706,8.8305,0.2857,0.5250,3.1852,10.3291,0.1534,197.0496,4.0956,0.2765,0.0947,3469.4627,4224.0000,0.328021,0.060051,0.001894,0.105396,True,7,169.3
SEEV_VALUE_SAFETY_WEIGHT|down,20260707,8.9877,0.2308,0.0633,3.2454,10.6059,0.1633,234.4224,4.0074,0.2897,0.1390,3515.1127,4317.0000,0.323952,0.057729,0.001158,0.109770,True,13,172.6
SEEV_VALUE_SAFETY_WEIGHT|down,20260708,8.1469,0.2727,0.0000,3.1699,10.6059,0.1559,219.8950,4.0499,0.2782,0.2355,3476.6127,4247.0000,0.329622,0.060355,0.000942,0.105905,True,11,166.9
SEEV_VALUE_SAFETY_WEIGHT|down,20260709,9.1456,0.5000,0.3061,3.0577,10.3292,0.1415,162.0638,4.0915,0.2610,0.1685,3429.2627,4155.0000,0.333351,0.060692,0.000241,0.098701,True,10,167.4
SEEV_VALUE_PROGRESS_WEIGHT|up,20260705,7.5012,0.2667,0.0949,3.1911,10.6059,0.1580,192.5268,4.2209,0.2840,0.2171,3431.9627,4146.0000,0.378338,0.067099,0.002894,0.107970,True,15,164.6
SEEV_VALUE_PROGRESS_WEIGHT|up,20260706,8.8305,0.2857,0.5250,3.1852,10.3291,0.1534,197.0496,4.0956,0.2765,0.0947,3469.4627,4224.0000,0.379192,0.068199,0.002367,0.105396,True,7,170.8
SEEV_VALUE_PROGRESS_WEIGHT|up,20260707,8.9877,0.2308,0.0633,3.2454,10.6059,0.1633,234.4224,4.0074,0.2897,0.1390,3515.1127,4317.0000,0.375056,0.065746,0.001853,0.109770,True,13,171.5
SEEV_VALUE_PROGRESS_WEIGHT|up,20260708,8.1469,0.2727,0.0000,3.1699,10.6059,0.1559,219.8950,4.0499,0.2782,0.2355,3476.6127,4247.0000,0.380728,0.068492,0.001884,0.105905,True,11,170.8
SEEV_VALUE_PROGRESS_WEIGHT|up,20260709,9.1456,0.5000,0.3061,3.0577,10.3292,0.1415,162.0638,4.0915,0.2610,0.1685,3429.2627,4155.0000,0.385055,0.068937,0.000722,0.098701,True,10,166.5
SEEV_VALUE_PROGRESS_WEIGHT|down,20260705,7.5012,0.2667,0.0949,3.1911,10.6059,0.1580,192.5268,4.2209,0.2840,0.2171,3431.9627,4146.0000,0.295329,0.055502,0.002894,0.107970,True,15,162.1
SEEV_VALUE_PROGRESS_WEIGHT|down,20260706,8.8305,0.2857,0.5250,3.1852,10.3291,0.1534,197.0496,4.0956,0.2765,0.0947,3469.4627,4224.0000,0.295939,0.056292,0.002131,0.105396,True,7,165.3
SEEV_VALUE_PROGRESS_WEIGHT|down,20260707,8.9877,0.2308,0.0633,3.2454,10.6059,0.1633,234.4224,4.0074,0.2897,0.1390,3515.1127,4317.0000,0.293071,0.054358,0.001621,0.109770,True,13,166.0
SEEV_VALUE_PROGRESS_WEIGHT|down,20260708,8.1469,0.2727,0.0000,3.1699,10.6059,0.1559,219.8950,4.0499,0.2782,0.2355,3476.6127,4247.0000,0.298784,0.056890,0.001648,0.105905,True,11,165.1
SEEV_VALUE_PROGRESS_WEIGHT|down,20260709,9.1456,0.5000,0.3061,3.0577,10.3292,0.1415,162.0638,4.0915,0.2610,0.1685,3429.2627,4155.0000,0.301150,0.056963,0.000481,0.098701,True,10,163.6
SEEV_EXPECTANCY_RISK_WEIGHT|up,20260705,7.5012,0.2667,0.0949,3.1911,10.6059,0.1580,192.5268,4.2209,0.2840,0.2171,3431.9627,4146.0000,0.336859,0.063665,0.003377,0.107970,True,15,162.9
SEEV_EXPECTANCY_RISK_WEIGHT|up,20260706,8.8305,0.2857,0.5250,3.1852,10.3291,0.1534,197.0496,4.0956,0.2765,0.0947,3469.4627,4224.0000,0.337592,0.064524,0.002367,0.105396,True,7,165.4
SEEV_EXPECTANCY_RISK_WEIGHT|up,20260707,8.9877,0.2308,0.0633,3.2454,10.6059,0.1633,234.4224,4.0074,0.2897,0.1390,3515.1127,4317.0000,0.334089,0.062418,0.002548,0.109770,True,13,168.0
SEEV_EXPECTANCY_RISK_WEIGHT|up,20260708,8.1469,0.2727,0.0000,3.1699,10.6059,0.1559,219.8950,4.0499,0.2782,0.2355,3476.6127,4247.0000,0.339781,0.065078,0.001884,0.105905,True,11,165.2
SEEV_EXPECTANCY_RISK_WEIGHT|up,20260709,9.1456,0.5000,0.3061,3.0577,10.3292,0.1415,162.0638,4.0915,0.2610,0.1685,3429.2627,4155.0000,0.343128,0.065304,0.001925,0.098701,True,10,166.1
