label,seed,veh_share,veh_iw_mean,veh_stop_rate,veh_reaction_prob,veh_reaction_delay_s,lm_share,lm_iw_mean,lm_stop_rate,lm_relief_effect,lm_stop_after_rate,tac_share,tac_iw_mean,tac_stop_rate,tac_risk_mean,noref_share,noref_iw_mean,noref_stop_rate,noref_ep_len,noref_retrieval_per100,cross_share,cross_iw_mean,cross_stop_rate,cross_wait_s
baseline,20260709,0.01444,6.20849,40.00000,0.50000,0.30606,0.02118,2.18708,0.00000,0.08297,0.00000,0.56005,1.94885,1.20327,0.03330,0.21276,2.34306,7.01357,10.27647,1.24434,0.21613,5.88699,32.18263,161.91380
baseline,20260707,0.01436,4.97895,18.33333,0.40000,1.02985,0.02203,2.18699,4.34783,0.07930,0.17391,0.53914,1.95703,0.79929,0.03256,0.23246,2.67357,8.75386,10.69006,1.64779,0.21642,6.01898,23.45133,201.92450
baseline,20260706,0.01829,4.27664,24.35897,0.38462,0.51000,0.01876,2.29466,1.25000,0.11342,0.05000,0.53927,1.96473,0.82609,0.03260,0.23142,2.84748,10.23303,10.58101,1.21581,0.21899,5.91637,30.83512,199.66360
baseline,20260705,0.01862,5.59424,15.38462,0.23077,0.06327,0.01718,2.24520,5.55556,0.10708,0.22222,0.52578,1.94937,1.72492,0.03553,0.24582,2.56705,7.66990,11.05780,2.13592,0.21862,6.36972,21.83406,209.34700
baseline,20260708,0.01222,7.91637,21.15385,0.22222,0.00000,0.02163,2.16124,2.17391,0.10458,0.08696,0.52468,1.95697,1.65771,0.03467,0.23883,2.31310,6.69291,11.43195,1.87008,0.22567,6.23858,23.75000,228.46790
baseline_memth,20260706,0.01435,3.37684,31.14754,0.36364,0.00000,0.01600,2.16259,1.47059,0.07146,0.05882,0.53694,1.96593,1.09553,0.03284,0.23694,2.44226,8.44091,11.31176,1.78749,0.21953,6.03377,25.93783,219.07790
baseline_memth,20260707,0.00972,5.76077,23.80952,0.42857,0.72653,0.01760,2.22636,2.63158,0.10698,0.10526,0.54040,1.95379,1.11397,0.03366,0.21695,2.64216,8.32444,11.10000,1.92102,0.23038,6.06528,27.23618,240.37000
baseline_memth,20260708,0.01952,5.04759,28.57143,0.42857,0.36327,0.01952,2.15403,2.38095,0.08153,0.09524,0.53764,1.96180,1.38289,0.03415,0.23095,2.70230,8.95372,11.05114,2.41449,0.22444,6.20484,30.43478,213.87260
baseline_memth,20260709,0.01975,5.45519,21.42857,0.35714,1.08198,0.01881,2.28796,2.50000,0.12225,0.10000,0.53714,1.95874,1.31291,0.03527,0.22990,2.83847,9.61145,10.39560,2.35174,0.22496,5.66050,25.28736,215.20940
baseline_memth,20260705,0.03369,5.15596,9.72222,0.16000,0.54490,0.02340,2.32760,7.00000,0.15660,0.28000,0.53252,1.95578,1.36204,0.03357,0.21876,2.40575,7.48663,11.49701,2.13904,0.24380,6.31027,23.12860,235.36410
PROBE_RELIEF_RATIO|0.48,20260706,0.01699,2.95666,1.40845,0.08333,0.00000,0.02584,2.06939,0.00000,0.05448,0.00000,0.56640,1.95061,1.26743,0.03318,0.20603,2.50093,7.08479,9.47514,1.62602,0.21464,5.83646,21.29320,217.91070
