metric,metric_en,metric_cn,col_sum(全参数),weight_normalized
risk_mean,Risk,风险信号均值,3.5567,0.0443
risk_relief,Risk relief,地标触发后风险缓释量,4.7261,0.0589
probe_rate,Probe rate,停探测频率(/100步),7.4635,0.0930
response_prob,Response prob,车辆逼近反应概率,9.5177,0.1186
response_delay_s,Response delay,车辆逼近反应延迟(s),9.1364,0.1138
post_trigger_probe,Post-trigger probe,地标触发后停探测率,23.8528,0.2971
workload,Workload,认知负荷均值,3.3154,0.0413
episode_length,Episode length,参照丢失片段步长,0.9794,0.0122
retrieval_rate,Retrieval rate,无参照记忆检索率(/100步),9.4383,0.1176
probe_time_share,Time share (probing),停探测时间占比,5.6152,0.0700
veh_time_share,Time share (vehicle),车辆逼近时长占比,2.6718,0.0333
