label,seed,risk_mean,risk_relief,probe_rate,response_prob,response_delay_s,post_trigger_probe,workload,episode_length,retrieval_rate,probe_time_share,veh_time_share,total_steps,n_veh_onsets,n_lm_onsets,reached_goal,wall_s
baseline,20260705,0.11986,0.10708,7.58950,0.23077,0.06327,0.22222,3.06631,11.05780,2.13592,0.03764,0.01862,4190,13,18,True,154.6
baseline,20260706,0.11786,0.11342,9.56624,0.38462,0.51000,0.05000,3.03239,10.58101,1.21581,0.04974,0.01829,4265,13,20,True,156.6
baseline,20260707,0.11431,0.07930,7.56524,0.40000,1.02985,0.17391,3.00026,10.69006,1.64779,0.03840,0.01436,4177,10,23,True,152.9
baseline,20260708,0.11805,0.10458,7.85143,0.22222,0.00000,0.08696,3.00614,11.43195,1.87008,0.04017,0.01222,4254,9,23,True,155.6
baseline,20260709,0.10951,0.08297,9.12154,0.50000,0.30606,0.00000,2.88150,10.27647,1.24434,0.04758,0.01444,4155,10,22,True,152.6
SEEV_VALUE_SAFETY_WEIGHT|up,20260705,0.11937,0.10708,7.54491,0.23077,0.06327,0.22222,3.04519,10.97688,2.13592,0.03742,0.01868,4175,13,18,True,154.1
SEEV_VALUE_SAFETY_WEIGHT|up,20260706,0.11816,0.11342,9.56624,0.38462,0.51000,0.05000,3.03088,10.58101,1.21581,0.04974,0.01829,4265,13,20,True,157.3
SEEV_VALUE_SAFETY_WEIGHT|up,20260707,0.11461,0.07907,7.56524,0.40000,1.02985,0.17391,2.99908,10.69006,1.64779,0.03840,0.01436,4177,10,23,True,152.9
SEEV_VALUE_SAFETY_WEIGHT|up,20260708,0.11830,0.10432,7.85143,0.22222,0.00000,0.08696,3.00667,11.43195,1.87008,0.04017,0.01222,4254,9,23,True,155.3
SEEV_VALUE_SAFETY_WEIGHT|up,20260709,0.10985,0.08187,9.12154,0.50000,0.30606,0.00000,2.88096,10.27647,1.24434,0.04758,0.01444,4155,10,22,True,157.6
SEEV_VALUE_SAFETY_WEIGHT|down,20260705,0.11921,0.10739,7.61337,0.23077,0.06327,0.22222,3.06661,11.05780,2.13592,0.03773,0.01862,4190,13,18,True,157.2
SEEV_VALUE_SAFETY_WEIGHT|down,20260706,0.11749,0.11342,9.56624,0.38462,0.51000,0.05000,3.03432,10.58101,1.21581,0.04974,0.01829,4265,13,20,True,158.2
SEEV_VALUE_SAFETY_WEIGHT|down,20260707,0.11397,0.07957,7.54130,0.30000,0.65987,0.17391,3.00227,10.69006,1.64779,0.03831,0.01436,4177,10,23,True,155.9
SEEV_VALUE_SAFETY_WEIGHT|down,20260708,0.11584,0.08302,8.14693,0.27273,0.00000,0.04000,2.99810,10.88372,1.24870,0.04206,0.01554,4247,11,25,True,158.1
SEEV_VALUE_SAFETY_WEIGHT|down,20260709,0.10925,0.08297,9.09747,0.50000,0.30606,0.00000,2.88487,10.27647,1.24434,0.04743,0.01444,4155,10,22,True,158.7
SEEV_VALUE_PROGRESS_WEIGHT|up,20260705,0.11943,0.10739,7.58950,0.23077,0.06327,0.22222,3.06898,11.05780,2.13592,0.03764,0.01862,4190,13,18,True,160.6
SEEV_VALUE_PROGRESS_WEIGHT|up,20260706,0.11762,0.11213,9.56624,0.38462,0.51000,0.05000,3.03422,10.58101,1.21581,0.04974,0.01829,4265,13,20,True,162.3
SEEV_VALUE_PROGRESS_WEIGHT|up,20260707,0.11406,0.07789,7.54130,0.30000,0.65987,0.17391,3.00225,10.69006,1.64779,0.03831,0.01436,4177,10,23,True,161.6
SEEV_VALUE_PROGRESS_WEIGHT|up,20260708,0.11770,0.10432,7.85143,0.22222,0.00000,0.08696,3.00842,11.43195,1.87008,0.04017,0.01222,4254,9,23,True,162.7
SEEV_VALUE_PROGRESS_WEIGHT|up,20260709,0.10927,0.08242,9.12154,0.50000,0.30606,0.00000,2.88283,10.27647,1.24434,0.04758,0.01444,4155,10,22,True,159.3
SEEV_VALUE_PROGRESS_WEIGHT|down,20260705,0.11934,0.10745,7.54491,0.23077,0.06327,0.22222,3.04514,10.97688,2.13592,0.03742,0.01868,4175,13,18,True,164.8
SEEV_VALUE_PROGRESS_WEIGHT|down,20260706,0.11812,0.11342,9.56624,0.38462,0.51000,0.05000,3.03104,10.58101,1.21581,0.04974,0.01829,4265,13,20,True,166.4
SEEV_VALUE_PROGRESS_WEIGHT|down,20260707,0.11459,0.07952,7.56524,0.40000,1.02985,0.17391,2.99886,10.69006,1.64779,0.03840,0.01436,4177,10,23,True,163.9
SEEV_VALUE_PROGRESS_WEIGHT|down,20260708,0.11827,0.10483,7.85143,0.22222,0.00000,0.08696,3.00650,11.43195,1.87008,0.04017,0.01222,4254,9,23,True,166.6
SEEV_VALUE_PROGRESS_WEIGHT|down,20260709,0.10982,0.08308,9.12154,0.50000,0.30606,0.00000,2.88061,10.27647,1.24434,0.04758,0.01444,4155,10,22,True,165.6
SEEV_EXPECTANCY_RISK_WEIGHT|up,20260705,0.12025,0.10708,7.58950,0.23077,0.06327,0.22222,3.06378,11.05780,2.13592,0.03772,0.01862,4190,13,18,True,166.1
SEEV_EXPECTANCY_RISK_WEIGHT|up,20260706,0.11804,0.11342,9.56624,0.38462,0.51000,0.05000,3.03126,10.58101,1.21581,0.04974,0.01829,4265,13,20,True,171.1
SEEV_EXPECTANCY_RISK_WEIGHT|up,20260707,0.11450,0.07907,7.56524,0.40000,1.02985,0.17391,2.99960,10.69006,1.64779,0.03840,0.01436,4177,10,23,True,163.4
SEEV_EXPECTANCY_RISK_WEIGHT|up,20260708,0.11824,0.10432,7.85143,0.22222,0.00000,0.08696,3.00630,11.43195,1.87008,0.04017,0.01222,4254,9,23,True,167.2
SEEV_EXPECTANCY_RISK_WEIGHT|up,20260709,0.10973,0.08278,9.12154,0.50000,0.30606,0.00000,2.88098,10.27647,1.24434,0.04758,0.01444,4155,10,22,True,165.3
SEEV_EXPECTANCY_RISK_WEIGHT|down,20260705,0.11942,0.10739,7.58950,0.23077,0.06327,0.22222,3.06915,11.05780,2.13592,0.03764,0.01862,4190,13,18,True,705.3
SEEV_EXPECTANCY_RISK_WEIGHT|down,20260706,0.11762,0.11342,9.56624,0.38462,0.51000,0.05000,3.03412,10.58101,1.21581,0.04974,0.01829,4265,13,20,True,706.8
SEEV_EXPECTANCY_RISK_WEIGHT|down,20260707,0.11405,0.07957,7.54130,0.30000,0.65987,0.17391,3.00284,10.69006,1.64779,0.03831,0.01436,4177,10,23,True,705.4
SEEV_EXPECTANCY_RISK_WEIGHT|down,20260708,0.11763,0.10458,7.85143,0.22222,0.00000,0.08696,3.00874,11.43195,1.87008,0.04017,0.01222,4254,9,23,True,707.2
SEEV_EXPECTANCY_RISK_WEIGHT|down,20260709,0.10928,0.08297,9.12154,0.50000,0.30606,0.00000,2.88243,10.27647,1.24434,0.04758,0.01444,4155,10,22,True,707.8
