label,seed,stop_probe_per_100steps,veh_reaction_prob,veh_reaction_delay_s,veh_miss_rate,veh_response_duration_steps,recovery_time_after_vehicle_s,move_direct_rate,iw_mean,iw_high_ratio,crossing_wait_s,stop_probe_after_landmark_rate,landmark_relief_effect,memory_retrieval_per_100steps,ref_loss_episodes_per_100steps,deprivation_mean,obstacle_hits_per_100steps,total_sim_time_s,total_steps,mech_net_priority_mean,mech_gate_rate,mech_looming_mean,mech_looming_duration,mech_sound_salience_mean,mech_veh_evidence_valid_rate,mech_risk_mean,mech_memory_active_rate,mech_retrieval_load_mean,mech_retrieval_load_p90,n_veh_onsets,n_lm_onsets,wall_s
baseline,20260705,7.50121,0.26667,0.09490,0.73333,5.00000,3.35510,0.82127,3.19111,0.15798,192.52680,0.22222,0.09479,1.18186,4.22094,0.28403,0.21708,3431.96270,4146.00000,0.06130,0.00289,0.00735,10.28571,0.06707,0.96429,0.10797,0.16739,0.03462,0.05000,15,18,153
baseline,20260706,8.83049,0.28571,0.52500,0.71429,10.00000,6.03520,0.80611,3.18523,0.15341,197.04960,0.00000,0.06484,0.87595,4.09564,0.27649,0.09470,3469.46270,4224.00000,0.06225,0.00213,0.00371,10.14286,0.06481,0.87500,0.10540,0.16832,0.03498,0.05000,7,19,155
baseline,20260707,8.98772,0.23077,0.06327,0.76923,4.66667,3.17347,0.78874,3.24543,0.16331,234.42240,0.13333,0.06461,1.01923,4.00741,0.28965,0.13899,3515.11270,4317.00000,0.06005,0.00162,0.00629,10.41667,0.06742,0.89286,0.10977,0.17697,0.03421,0.05000,13,15,161
baseline,20260708,8.14693,0.27273,0.00000,0.72727,5.00000,3.26020,0.80174,3.16994,0.15587,219.89500,0.04000,0.07503,1.03603,4.04992,0.27820,0.23546,3476.61270,4247.00000,0.06269,0.00165,0.00526,9.63636,0.06620,0.94737,0.10590,0.16553,0.03474,0.05000,11,25,154
baseline,20260709,9.14561,0.50000,0.30606,0.50000,10.80000,6.17626,0.81949,3.05774,0.14152,162.06380,0.00000,0.07104,0.91456,4.09146,0.26098,0.16847,3429.26270,4155.00000,0.06295,0.00072,0.00479,9.50000,0.06514,0.93750,0.09870,0.14946,0.03574,0.05000,10,22,154
ACTR_RISK_CANE_GUIDANCE_RELIEF|x0.5,20260705,7.47709,0.26667,0.09490,0.73333,5.00000,3.35510,0.82127,3.19610,0.15847,192.22680,0.27778,0.09757,1.18186,4.22094,0.28422,0.21708,3431.66270,4146.00000,0.06129,0.00289,0.00735,10.28571,0.06707,0.96429,0.10879,0.16787,0.03462,0.05000,15,18,153
ACTR_RISK_CANE_GUIDANCE_RELIEF|x0.5,20260706,8.83049,0.28571,0.52500,0.71429,10.00000,6.03520,0.80611,3.18547,0.15341,197.04960,0.00000,0.06747,0.87595,4.09564,0.27649,0.09470,3469.61270,4224.00000,0.06225,0.00213,0.00371,10.14286,0.06481,0.87500,0.10599,0.16832,0.03498,0.05000,7,19,155
ACTR_RISK_CANE_GUIDANCE_RELIEF|x0.5,20260707,8.96456,0.23077,0.06327,0.76923,4.66667,3.17347,0.78874,3.25057,0.16377,233.97240,0.13333,0.06461,1.01923,4.00741,0.28967,0.13899,3514.71270,4317.00000,0.06004,0.00162,0.00629,10.41667,0.06742,0.89286,0.11068,0.17744,0.03421,0.05000,13,15,157
ACTR_RISK_CANE_GUIDANCE_RELIEF|x0.5,20260708,8.12338,0.27273,0.00000,0.72727,5.00000,3.26020,0.80174,3.17259,0.15611,219.59500,0.04000,0.07503,1.03603,4.04992,0.27826,0.23546,3476.31270,4247.00000,0.06269,0.00165,0.00526,9.63636,0.06620,0.94737,0.10669,0.16576,0.03474,0.05000,11,25,156
ACTR_RISK_CANE_GUIDANCE_RELIEF|x0.5,20260709,9.09747,0.50000,0.30606,0.50000,10.80000,6.17626,0.81949,3.06323,0.14200,161.76380,0.00000,0.07331,0.91456,4.09146,0.26116,0.16847,3428.96270,4155.00000,0.06294,0.00072,0.00479,9.50000,0.06514,0.93750,0.09942,0.14994,0.03574,0.05000,10,22,154
ACTR_RISK_CANE_GUIDANCE_RELIEF|x2.0,20260705,7.50121,0.26667,0.09490,0.73333,5.00000,3.35510,0.82127,3.19097,0.15798,192.52680,0.22222,0.09280,1.18186,4.22094,0.28403,0.21708,3432.01270,4146.00000,0.06130,0.00289,0.00735,10.28571,0.06707,0.96429,0.10715,0.16739,0.03462,0.05000,15,18,155
ACTR_RISK_CANE_GUIDANCE_RELIEF|x2.0,20260706,8.83049,0.28571,0.52500,0.71429,10.00000,6.03520,0.80611,3.18457,0.15341,197.04960,0.00000,0.06376,0.87595,4.09564,0.27649,0.09470,3469.46270,4224.00000,0.06225,0.00213,0.00371,10.14286,0.06481,0.87500,0.10476,0.16832,0.03498,0.05000,7,19,157
ACTR_RISK_CANE_GUIDANCE_RELIEF|x2.0,20260707,8.98772,0.23077,0.06327,0.76923,4.66667,3.17347,0.78874,3.24517,0.16331,234.42240,0.13333,0.06461,1.01923,4.00741,0.28965,0.13899,3515.11270,4317.00000,0.06005,0.00162,0.00629,10.41667,0.06742,0.89286,0.10889,0.17697,0.03421,0.05000,13,15,159
